Title,Description,Genres,Poster_URL
Lust for Life,"An intense and imaginative artist, revered Dutch painter Vincent van Gogh possesses undeniable talent, but he is plagued by mental problems and frustrations with failure. Supported by his brother, Theo, the tormented Van Gogh eventually leaves Holland for France, where he meets volatile fellow painter Paul Gauguin and struggles to find greater inspiration.","Drama, History",https://image.tmdb.org/t/p/w500/rlK3LG3W41eF3N1tk0SEM7Dln2x.jpg
Breaking News in Yuba County,"An overlooked pencil-pusher catches her husband in bed with another woman, the shock of which causes him to die of a heart attack. So she buries his body and takes advantage of the growing celebrity status that comes from having a missing husband. But she quickly finds herself in over her head, dodging cops and criminals, all while trying to keep the truth from her sister, a local news anchor who’s desperate for a story.","Comedy, Drama, Crime",https://image.tmdb.org/t/p/w500/pMyCYtgfBmMisX3RFc5eH6zIV5Y.jpg
Excision,"A misunderstood teenager Pauline, struggles with her abrasive Christian mother, her chronically ill sister, her aspiration to become a surgeon, and her increasingly violent psychosexual dreams. Pauline slowly begins to indulge in her fantasies, meanwhile, her mother tries to connect with her. In an attempt to make her mother proud she strives to cure her sister.","Drama, Horror, Comedy",https://image.tmdb.org/t/p/w500/3aLgB6FTQlNanER0RpckbKdwyh9.jpg
World Gone Mad,"This classic Greek comedy revolves around the constant fights between Zikos who works as a clerk at a small grocer's shop and the shop's owner. Zikos just can't keep his mouth shut every time his boss behaves as being an aristocrat. Things go even worse when Zikos finds out that his boss, by taking advantage of his wealth and with the help of the local match-maker, is planning to marry a young poor girl living in the same neighborhood.",Comedy,https://image.tmdb.org/t/p/w500/gaQ4zzEpZkmEWPvoLFFW1W5POlJ.jpg
Rosario,"After her estranged grandmother unexpectedly passes away, a snowstorm locks Rosario in with the body while twisted supernatural forces begin assaulting her.",Horror,https://image.tmdb.org/t/p/w500/7BkDJ4DfjkEG6NRJPeyw9w2iRFx.jpg
Eating You Alive,"How and why what we eat is the cause of the chronic diseases that are killing us, and changing what we eat can save our lives one bite at a time.",Documentary,https://image.tmdb.org/t/p/w500/yicw6vxFRlMAjdPm5hBg1tc2DpP.jpg
Guardians,"During the Cold War, an organization called ""Patriot"" created a super-hero squad, which includes members of multiple soviet republics. For years, the heroes had to hide their identities, but in hard times they must show themselves again.","Action, Adventure, Comedy, Fantasy, Science Fiction, Thriller",https://image.tmdb.org/t/p/w500/kK0NuA3YjD0YdofmXFO68UaBvKR.jpg
Virus,Scientists in Antarctica desperately try to find a cure to a military virus that was released in a plane crash and has wiped out the rest of the world.,"Horror, Science Fiction, Drama",https://image.tmdb.org/t/p/w500/hUkLBDDUISSEv19xXRj2tFWNzMj.jpg
Untraceable,"Special Agent Jennifer Marsh works in an elite division of the FBI dedicated to fighting cybercrime. She thinks she has seen it all, until a particularly sadistic criminal arises on the Internet. This tech-savvy killer posts live feeds of his crimes on his website; the more hits the site gets, the faster the victim dies. Marsh and her team must find the elusive killer before time runs out.","Thriller, Crime, Mystery, Drama, Horror",https://image.tmdb.org/t/p/w500/ySUwDRDEn01lKIMPQorpFCMLWqE.jpg
The Last of Us: One Night Live,"To celebrate the launch of the PS4 version of The Last of Us, Naughty Dog brings last year’s Game of the Year to life in front of hundreds of fans in Santa Monica. This special one night only event will celebrate the artistry behind the game with a performance of the score, plus a “live read” of key scenes featuring the principal actors, as directed by Neil Druckmann",Drama,https://image.tmdb.org/t/p/w500/1FVraFByPjGq2RB4IdT1glHsPCW.jpg
